"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee,Apogee,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
Aalto-1 ,Finland,Finland,University of Aalto,Civil,Technology Development,LEO,0,497,517,1.45E-03,97.45,94.7,5,6/23/2017,2017,2,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV
AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,LEO,0,442,687,1.77E-02,98.2,95.9,1,4/25/2016,2016,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a
"ABS-2 (Koreasat-8, ST-3)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,75,35778,35793,1.78E-04,0.08,1436.03,6330,2/6/2014,2014,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
ABS-2A,NR (12/16),Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,-75,35700,35700,0.00E+00,0,1436.1,1800,6/15/2016,2016,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
"ABS-3 (Agila 2, Mabuhay 1)",Philippines,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,146.06,35769,35802,3.91E-04,0.05,1436.07,3775,8/19/1997,1997,15,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B
ABS-3A ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,-3,35788,35803,1.78E-04,0.1,1436,2000,3/2/2015,2015,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,75,35780,35793,1.54E-04,0.01,1436.1,4143,3/13/2004,2004,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,159,35777,35794,2.02E-04,0.01,1436.08,2894,9/26/1999,1999,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton
"ABS-7 (Koreasat 3, Mugungwha 3)",South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,116.18,35780,35791,1.30E-04,0.01,1436.06,3500,9/4/1999,1999,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,-26,35560,36013,5.37E-03,7.72,1436.14,4500,5/9/1998,1998,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,95.4,35589,35984,4.68E-03,3.2,1436.1,4500,9/9/2003,2003,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,44,35714,35937,2.64E-03,2.89,1438.8,5000,1/18/2009,2009,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,100.9,35500,35500,0.00E+00,0,1436,5000,11/21/2010,2010,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,60,35771,35805,4.03E-04,0,1436.1,5000,6/29/2012,2012,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,102.6,35613,35903,3.44E-03,7.51,1437.19,5000,6/11/2016,2016,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,USA,US Air Force,Military,Communications,GEO,-120,35772,35801,3.44E-04,2.34,1436.1,6169,5/3/2012,2012,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,US Air Force,Military,Communications,GEO,152.1,35700,35803,1.22E-03,4.2,1436.1,6169,9/18/2013,2013,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,LEO,0,480,790,2.21E-02,0.02,97.4,3,9/13/2012,2012,,University of Southern California,USA,Vandenberg AFB,Atlas 5
Aerocube 4.5A,USA,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,495,791,2.11E-02,64.6,97.5,5,9/13/2012,2012,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 4.5B,USA,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,499,792,2.09E-02,64.6,97.6,5,9/13/2012,2012,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 5A,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,443,886,3.15E-02,120.3,98,5,12/6/2013,2013,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 5B,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,443,886,3.15E-02,120.3,98,5,12/6/2013,2013,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,500,802,2.15E-02,64.78,97.74,2,10/8/2015,2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,614,700,6.12E-03,97.98,97.88,5,6/19/2014,2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,614,700,6.12E-03,97.98,97.88,5,6/19/2014,2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,500,802,2.15E-02,64.6,97.4,2,10/8/2015,2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,356,700,2.49E-02,55,95.19,5,5/20/2015,2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,356,700,2.49E-02,55,95.19,5,5/20/2015,2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5
Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,573,585,8.63E-04,98,96.23,2,11/11/2016,2016,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,LEO,0,572,584,8.64E-04,98,96.23,2,11/11/2016,2016,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",France,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,48.00,35764,35808,5.22E-04,0.12,1436.08,3460,12/20/2008,2008,15,EADS Astrium,France,Guiana Space Center,Ariane 5
AIM (Aeronomy of Ice in Mesosphere),USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,LEO,0,544,552,5.78E-04,97.9,96.2,215,4/25/2007,2007,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL
AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,LEO,0,643,660,1.21E-03,98.25,97.76,14,6/30/2014,2014,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,0,615,632,1.22E-03,98,97.2,6,7/12/2010,2010,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,0,625,631,4.29E-04,98.4,97.27,6,7/8/2014,2014,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b
AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,LEO,0,599,626,1.93E-03,82.4,96.9,,12/28/2013,2013,,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v"
AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,LEO,0,558,582,1.73E-03,64.88,96.06,53,4/19/2013,2013,3,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a
AIST-2D,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,LEO,0,471,486,1.10E-03,97.28,94.18,531,4/27/2016,2016,,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a
Al Yah-3,NR (5/18),United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,GEO,-20,35777,35796,2.25E-04,0,1436,3795,1/25/2018,2018,15,Orbital ATK,USA,Guiana Space Center,Ariane 5
Alcomsat (Algerian Communications Satellite),Algeria,Algeria,Algerian Space Agency,Government,Communications,GEO,-24.8,35744,35798,6.41E-04,0.04,1436.1,5225,12/10/2017,2017,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
Al-Farabi-1,NR (9/17),Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,LEO,0,497,497,0.00E+00,97.5,94.5,2,2/15/2017,2017,,Al-Farabi Kazakh National University,Kazakhstan,Satish Dhawan Space Centre,PSLV XL
ALiCE  (AFIT LEO iMESA CNT E),NR,USA,US Air Force Institute of Technology,Military,Technology Development,LEO,0,443,886,3.15E-02,120.3,98,5,12/6/2013,2013,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5
Alsat 2B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,0,646,660,9.97E-04,98.2,97.7,117,9/26/2016,2016,5,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,0,661,704,3.05E-03,98.2,98.4,103,9/26/2016,2016,5,Surrey Satellite Technology Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV
AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,LEO,0,661,698,2.62E-03,98.2,98.3,10,9/26/2016,2016,,Surrey Satellite Technology Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV
Alsat-2A (Algeria Satellite 2A),Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,0,672,674,1.42E-04,98.1,98.2,130,7/12/2010,2010,5,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
Altair-1 (Altair Pathfinder),NR (10/17),USA,Millennium Space Systems,Commercial,Technology Demonstration,LEO,0,401,404,2.21E-04,51.6,92.6,10,5/18/2017,2017,0.25,Millennium Space Systems,USA,International Space Station,Nanorack Deployer
Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61,35767,35805,4.51E-04,0.03,1436.08,5465,10/1/2009,2009,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5
Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61,35781,35791,1.19E-04,0.03,1436.05,6265,2/7/2013,2013,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61,35784,35795,1.30E-04,0.08,1436.24,2938,3/22/2014,2014,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
Amazonas-5,NR (3/18),Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61,35785,35789,4.74E-05,0.04,1436.11,5900,9/12/2017,2017,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton
"AMC-1 (Americom 1, GE-1)",USA,USA,SES S.A.,Commercial,Communications,GEO,-129.15,35772,35800,3.32E-04,0.03,1436.1,2783,9/8/1996,1996,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A
"AMC-10 (Americom-10, GE 10)",USA,USA,SES S.A.,Commercial,Communications,GEO,-134.97,35775,35797,2.61E-04,0.01,1436.09,2315,2/5/2004,2004,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS
"AMC-11 (Americom-11, GE 11)",USA,USA,SES S.A.,Commercial,Communications,GEO,-130.93,35774,35797,2.73E-04,0.04,1436.07,2340,5/19/2004,2004,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS
AMC-15 (Americom-15),USA,USA,SES S.A.,Commercial,Communications,GEO,-105.04,35777,35795,2.13E-04,0.04,1436.08,4200,10/14/2004,2004,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M
AMC-16 (Americom-16),USA,USA,SES S.A.,Commercial,Communications,GEO,-84.98,35780,35793,1.54E-04,0.02,1436.1,4312,12/17/2004,2004,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5
AMC-18 (Americom 18),USA,USA,SES S.A.,Commercial,Communications,GEO,-104.97,35773,35800,3.20E-04,0.06,1436.1,2081,12/8/2006,2006,15,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5
"AMC-2 (Americom 2, GE-2)",USA,USA,SES S.A.,Commercial,Communications,GEO,-100.98,35774,35798,2.85E-04,0.05,1436.1,2648,1/30/1997,1997,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L
AMC-21 (Americom 21),United Kingdom,USA,SES S.A.,Commercial,Communications,GEO,-124.86,35778,35793,1.78E-04,3,1436.1,2500,8/14/2008,2008,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
"AMC-4 (Americom-4, GE-4)",USA,USA,SES S.A./Gogo,Commercial,Communications,GEO,-100.99,35781,35791,1.19E-04,0.01,1436.1,3909,11/13/1999,1999,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP
"AMC-6 (Americom-6, GE-6)",USA,USA,SES S.A.,Commercial,Communications,GEO,-71.98,35778,35795,2.02E-04,0.05,1436.12,3901,10/22/2000,2000,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K
"AMC-7 (Americom-7, GE-7)",USA,USA,SES S.A.,Commercial,Communications,GEO,-136.94,35773,35798,2.97E-04,0.01,1436.08,1935,9/14/2000,2000,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,USA,SES S.A.,Commercial,Communications,GEO,-139,35773,35798,2.97E-04,0.03,1436.07,2015,12/19/2000,2000,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G
Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,-3.99,35783,35789,7.12E-05,0.04,1436.1,,4/28/2008,2008,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB
Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,65,35633,35796,1.94E-03,0.01,1432,,8/31/2013,2013,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB
Amsat-Oscar 7 (AO-7),USA,USA,AMSAT-NA,Civil,Communications,LEO,0,1440,1459,1.21E-03,101.4,114.9,29,11/15/1974,1974,,Amsat-NA,USA,Vandenberg AFB,Delta 2310
Anik F1 ,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-107.27,35778,35793,1.78E-04,0.02,1436.08,4710,11/21/2000,2000,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L
Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-107.3,35777,35795,2.13E-04,0.02,1436.1,4500,9/9/2005,2005,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
Anik F2 ,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-111.07,35781,35790,1.07E-04,0.01,1436.08,5910,7/18/2004,2004,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5
Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-118.69,35778,35794,1.90E-04,0.01,1436.1,4715,4/9/2007,2007,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-107.3,35773,35799,3.08E-04,0.01,1436.08,4905,4/15/2013,2013,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M
AntelSat,NR,Uruguay,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Civil,Technology Development,LEO,0,612,696,5.98E-03,97.96,96.99,2,6/19/2014,2014,,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Uruguay,Dombarovsky Air Base,Dnepr
AOBA-Velox 3 ,NR (10/17),Singapore/Japan,Nanyang Technological University/Kyushu Institute of Technology,Civil,Technology Development,LEO,0,398,407,6.64E-04,51.64,92.61,2,12/9/2016,2016,0.5,Nanyang Technological University/Kyushu Institute of Technology,Singapore/Japan,International Space Station,Nanorack Deployer
AprizeSat 1 (LatinSat-C),USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,LEO,0,696,764,4.79E-03,98,99.4,12,6/29/2004,2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1
AprizeSat 10 (exactView-13),NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,0,613,733,8.52E-03,97.9,98,12,6/19/2014,2014,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
AprizeSat 2 (LatinSat-D),USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,LEO,0,694,850,1.09E-02,98.2,100.3,12,6/29/2004,2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1
AprizeSat 3 ,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,0,559,662,7.38E-03,98.18,97,12,7/29/2009,2009,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr
AprizeSat 4 ,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,0,604,674,4.99E-03,98.1,97.5,12,7/29/2009,2009,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr
AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,LEO,0,610,694,5.98E-03,98.2,97.8,12,8/17/2011,2011,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr 1
AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,LEO,0,594,653,4.22E-03,97.8,97.17,12,11/21/2013,2013,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
AprizeSat 8 (exactView-12),NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,0,594,669,5.36E-03,97.8,97.99,12,11/21/2013,2013,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
AprizeSat 9 (exactView-11),NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,LEO,0,613,715,7.25E-03,97.9,98,12,6/19/2014,2014,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
Apstar 6,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,134.04,35778,35794,1.90E-04,0.01,1436.08,4680,4/12/2005,2005,,Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B
Apstar 7,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,76.5,35864,35874,1.18E-04,0.03,1440.31,5054,3/31/2012,2012,15,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B
Apstar 9,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,142,35782,35788,7.12E-05,0.12,1436.01,5200,10/16/2015,2015,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)",China,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,87.68,35778,35795,2.02E-04,0.02,1436.12,3000,5/30/1998,1998,15,Lockheed Martin,USA,Xichang Satellite Launch Center,Long March 3B
Arabsat 5C,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,19.99,35766,35805,4.63E-04,0.06,1436.06,4630,9/21/2011,2011,15,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA
Arabsat 7F (Nimiq 1) ,Canada,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,GEO,44.5,35778,35794,1.90E-04,0.01,1436.09,3600,5/20/1999,1999,12,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D
Arkyd-6A,NR (5/18),USA,Planetary Resources,Commercial,Technology Development,LEO,0,493,505,8.73E-04,97.5,94.5,10,1/11/2018,2018,,Planetary Resources,USA,Satish Dhawan Space Centre,PSLV
ArSat 1,Argentina,Argentina,ArSat,Commercial,Communications,GEO,-71.8,35778,35795,2.02E-04,0.01,1436.07,3000,10/16/2014,2014,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA
ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,GEO,-81,35786,35801,1.78E-04,0.01,1436.06,2977,9/30/2015,2015,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA
AsiaSat-3S (Asiasat 3SA),China,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,GEO,105.55,35780,35792,1.42E-04,0.02,1436.07,3480,3/21/1999,1999,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K
AsiaSat-4 ,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,122.24,35784,35789,5.93E-05,0,1436.1,4137,4/12/2003,2003,15,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B
AsiaSat-5,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,100.5,35778,35795,2.02E-04,0,1436.11,3760,8/11/2009,2009,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M
AsiaSat-6 (Thaicom-7),China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,120,35783,35793,1.19E-04,0.07,1436.17,3700,9/7/2014,2014,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9
AsiaSat-7,China,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,GEO,105.5,35782,35793,1.30E-04,0.02,1436.17,3813,11/25/2011,2011,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M
AsiaSat-8,China,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,GEO,105.5,35781,35793,1.42E-04,0.07,1436.1,4500,8/5/2014,2014,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9
AsiaSat-9,NR (3/18),China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,122,35783,35790,8.30E-05,0.02,1436.1,6140,9/28/2017,2017,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton
AsiaStar ,USA,USA,1Worldspace,Commercial,Communications,GEO,104.97,35773,35801,3.32E-04,0.02,1436.15,2775,3/21/2000,2000,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,Japan,Japan Space Systems,Government,Earth Observation,LEO,0,506,507,7.27E-05,97.48,94.75,500,11/6/2014,2014,3,NEC Corporation,Japan,Dombarovsky Air Base,Dnepr
ASNARO 2 (Advanced Satellite with New system Architecture for Observation),NR (5/18),Japan,Japan Space Systems,Government,Earth Observation,LEO,0,493,505,8.73E-04,97.3,94.5,570,1/17/2018,2018,3,NEC Corporation,Japan,Uchinoura Space Center,Epsilon
ASTERIA ( (Arcsecond Space Telescope Enabling Research in Astrophysics),NR (3/18),USA,Massachusetts Institute of Technology/NASA ,Government/Civil,Technology Development,LEO,0,400,405,3.69E-04,51.6,92.6,12,11/20/2017,2017,1,NASA Jet Propulsion Laboratory/MIT,USA,International Space Station,Nanorack Deployer
Astra 1D ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,GEO,-67.6,35776,35795,2.25E-04,1.15,1436.08,2924,11/1/1994,1994,15,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 42P
Astra 1F ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,GEO,19.22,35778,35797,2.25E-04,0.03,1436.15,3010,4/18/1996,1996,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K
Astra 1G ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,GEO,19.24,35780,35791,1.30E-04,0.04,1436.08,3379,12/2/1997,1997,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K
Astra 1H ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,GEO,-67.6,35776,35794,2.13E-04,0.06,1436.04,3690,6/18/1999,1999,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton D
Astra 1KR,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,GEO,19.16,35766,35807,4.86E-04,0.08,1436.1,4332,4/20/2006,2006,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5
Astra 1L,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,GEO,19.3,35772,35798,3.08E-04,0.05,1436.03,4500,5/4/2007,2007,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA
Astra 1M,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,GEO,19.2,35804,35852,5.69E-04,0.14,1438.2,5345,11/5/2008,2008,15,EADS Astrium,France,Baikonur Cosmodrome,Proton M
Astra 1N,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,GEO,28.2,35715,35780,7.72E-04,0.12,1434.1,5350,8/6/2011,2011,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA
Astra 2A ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,GEO,28.16,35776,35797,2.49E-04,0.08,1436.12,3635,8/30/1998,1998,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K
Astra 2B ,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,GEO,31.33,35772,35801,3.44E-04,0.07,1436.11,3315,9/14/2000,2000,14,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G
